access	[ˈækˌsɛs]	v. 获取 n. 接近，入口
customer	[ˈkəstəmər]	 n. 顾客，主顾
observation	[ˌɑbzərˈveɪʃən]	 n. 注意；观察；观察力
moderate	[ˈmɑdərˌeɪt]	 adj. 温和的；有节制的
cope	[koʊp]	 v. 对付，应付
king	[kɪŋ]	 n. 国王，君主
reaction	[riˈækʃən]	 n. 反应；反作用力
outlook	[ˈaʊˌtlʊk]	 n. 观点，看法；展望
member	[ˈmɛmbər]	 n. 成员，会员
passport	[ˈpæˌspɔrt]	 n. 护照
reduction	[rɪˈdəkʃən]	 n. 减少，减小，缩减
childhood	[ˈʧaɪlˌdhʊd]	 n. 童年，幼年；早期
corner	[ˈkɔrnər]	 n. 角；边远地区
grandmother	[ˈgrændˌməðər]	 n. 祖母，外祖母
lightning	[ˈlaɪtnɪŋ]	 n. 闪电，闪电放电
of	[əv]	 prep. …的；由于
classification	[ˌklæsəfəˈkeɪʃən]	 n. 分类；分级；分类法
tension	[ˈtɛnʃən]	 n. 紧张，不安；拉紧；张力
strip	[strɪp]	 v. 剥去；除去 n. 条，带
interpretation	[ˌɪnˌtərprɪˈteɪʃən]	 n. 解释
condemn	[kənˈdɛm]	 v. 谴责，指责；判刑
previous	[ˈpriviəs]	 adj. 先的；前的
hopeful	[ˈhoʊpfəl]	 adj. 有希望的
invisible	[ˌɪnˈvɪzəbəl]	 adj. 看不见的；无形的
occasion	[əˈkeɪʒən]	 n. 场合；时刻；时机
noun	[naʊn]	 n. 名词
blend	[blɛnd]	 v. 混和 n. 混和物
colleague	[ˈkɑlig]	 n. 同事，同僚
electronic	[ˌɪˌlɛkˈtrɑnɪk]	 adj. 电子的
fire	[faɪər]	 n. 火；火灾 v. 开火
layer	[leɪər]	 n. 层；层次
fade	[feɪd]	 v. 逐渐消失；褪色
ahead	[əˈhɛd]	 adv. 向前；在前；提前
chop	[ʧɑp]	 v. 砍，劈；切细
gulf	[gəlf]	 n. 海湾
convenient	[kənˈvinjənt]	 adj. 便利的；近便的
eleven	[ˈilɛvən]	 num. 十一，十一个
by	[baɪ]	 prep. 在…旁；被，由
Australian	[ɔˈstreɪljən]	 adj. 澳大利亚的
main	[meɪn]	 adj. 主要的，最重要的
candy	[ˈkændi]	 n. 糖果
bacteria	[bækˈtɪriə]	 n. 细菌
repeatedly	[rɪˈpitɪdli]	 adv. 重复地；一再
explanation	[ˌɛkspləˈneɪʃən]	 n. 解释，说明；辩解
impact	[ˌɪmˈpækt]	 n. 影响，作用；冲击
mainly	[ˈmeɪnli]	 adv. 主要地，大体上
administration	[ædˌmɪnɪˈstreɪʃən]	 n. 管理；管理部门
skillful	[ˈskɪlfəl]	 adj. 灵巧的，娴熟的
data	[ˈdætə]	 n. 数据；资料
pollution	[pəˈluʃən]	 n. 污染
possession	[pəˈzɛʃən]	 n. 有，所有；占有物
manly	[ˈmænli]	 adj. 男子气概的，果断的
reverse	[rɪˈvərs]	 v. 颠倒；翻转 n. 背面
gallon	[ˈgælən]	 n. 加仑
have	[hæv]	 aux v. （与过去分词连用构成完成时） v. 有；吃
boy	[bɔɪ]	 n. 男孩，少年；家伙
Mister	[ˈmɪstər]	 n. 先生
crawl	[krɔl]	 v. 爬，爬行
employment	[ɪmˈplɔɪmənt]	 n. 工作；职业；雇用；使用
dread	[drɛd]	 n. 畏惧；恐怖 v. 惧怕
difficult	[ˈdɪfəkəlt]	 adj. 困难的；难对付的
aggressive	[əˈgrɛsɪv]	 adj. 侵略的；好斗的
elder	[ˈɛldər]	 adj. 年龄较大的 n. 长者
twin	[twɪn]	 adj. 孪生的 n. 孪生儿
furnace	[ˈfərnəs]	 n. 炉子，熔炉；鼓风炉
political	[pəˈlɪtɪkəl]	 adj. 政治的，政治上的
statue	[ˈstæˌʧu]	 n. 塑像，雕像，铸像
geometry	[ʤiˈɑmətri]	 n. 几何，几何学
union	[ˈjunjən]	 n. 协会；联合
accord	[əˈkɔrd]	 v. 给予；使一致
terminal	[ˈtərmənəl]	 adj. 末端的 n. 〔飞机、公共汽车、轮船客运或货物运输的〕集散站，终点站
petroleum	[pəˈtroʊliəm]	 n. 石油
northwest	[ˌnɔrθˈwɛst]	 n. 西北 adj. 位于西北的
wool	[wʊl]	 n. 羊毛；毛线，绒线
hollow	[ˈhɑloʊ]	 adj. 空的；空洞的
mission	[ˈmɪʃən]	 n. 使命，任务；使团
lantern	[ˈlæntərn]	 n. 提灯，灯笼
earnest	[ˈərnɪst]	 adj. 认真的，诚恳的
lavatory	[ˈlævəˌtɔri]	 n. 盥洗室，厕所
oneself	[ˌwənˈsɛlf]	 pron. 自己；亲自
familiar	[fəˈmɪljər]	 adj. 熟悉的
rocket	[ˈrɑkət]	 n. 火箭，火箭发动机
veteran	[ˈvɛtərən]	 n. 老兵；老手
declare	[dɪˈklɛr]	 v. 断言；声明；表明
span	[spæn]	 n. 持续时间；跨距
bunch	[bənʧ]	 n. 束，串；一群
approve	[əˈpruv]	 v. 批准；赞成，称许
hobby	[ˈhɑbi]	 n. 业余爱好，癖好
pea	[pi]	 n. 豌豆；豌豆属植物
collapse	[kəˈlæps]	 v. 倒坍；崩溃，瓦解
insect	[ˈɪnˌsɛkt]	 n. 昆虫，虫
he	[hi]	 pron. （主格）他
eat	[it]	 v. 吃
add	[æd]	 v. 添加，附加，掺加
growth	[groʊθ]	 n. 增长；增长量；生长
strange	[streɪnʤ]	 adj. 陌生的；奇怪的
invention	[ˌɪnˈvɛnʃən]	 n. 发明，创造；捏造， 假话
female	[ˈfiˌmeɪl]	 n. 雌性的动物；女性
disaster	[dɪˈzæstər]	 n. 灾难，灾祸；天灾
headache	[ˈhɛˌdeɪk]	 n. 头痛；头痛的事
comment	[ˈkɑmɛnt]	 n. 评论，意见；批评；指责
damage	[ˈdæmɪʤ]	 v. 损害，毁坏 n. 损害
assure	[əˈʃʊr]	 v. 使确信；向…保证
store	[stɔr]	 n. 商店；贮藏；贮存品
withdraw	[wɪθˈdrɔ]	 v. 撤退；收回；撤回
conduct	[ˈkɑndəkt]	 n. 举止，行为
bulb	[bəlb]	 n. 电灯泡
alcohol	[ˈælkəˌhɑl]	 n. 酒精，乙醇
bitter	[ˈbɪtər]	 adj. 痛苦的；严寒的
respond	[rɪˈspɑnd]	 v. 作答；响应
naked	[ˈneɪkəd]	 adj. 裸体的；无遮敝的
radar	[ˈreɪˌdɑr]	 n. 雷达，无线电探测器
birthday	[ˈbərθˌdeɪ]	 n. 生日；诞生的日期
precise	[prɪˈsaɪs]	 adj. 精确的，准确的
emerge	[ˈimərʤ]	 v. 出现，涌现；冒出
reality	[ˌriˈæləˌti]	 n. 现实；真实
wing	[wɪŋ]	 n. 翼，翅膀，翅
gauge	[geɪʤ]	 v. 量，测量 n. 量器
give	[gɪv]	 v. 做，作；送给
end	[ɛnd]	 n. 末端；目标 v. 结束
rust	[rəst]	 n. 锈 v. 生锈，氧化
disagree	[dɪsəˈgri]	 v. 有分歧；不一致
engineer	[ˈɛnʤəˈnɪr]	 n. 工程师，技师
expert	[ˈɛkspərt]	 n. 专家 adj. 熟练的
plain	[pleɪn]	 n. 平原 adj. 清楚的
philosopher	[fəˈlɑsəfər]	 n. 哲学家
eastern	[ˈistərn]	 adj. 朝东的；东方的
automobile	[ˌɔtəmoʊˈbil]	 n. 汽车，机动车
noon	[nun]	 n. 正午，中午
region	[ˈriʤən]	 n. 地区，地带；领域
transformation	[ˌtrænsfərˈmeɪʃən]	 n. 变化；改造；转变
benefit	[ˈbɛnəfɪt]	 n. 利益；恩惠；津贴
least	[list]	 det,pron. 最少的 adv. 最少
grind	[graɪnd]	 v. 磨（碎）；磨利
do	[du]	 aux. （用于实义动词前构成否定句和疑问句） v. 做，干，办
national	[ˈnæʃənəl]	 adj. 民族的；国家的
excursion	[ɪkˈskərʒən]	 n. 远足；短途旅行
haste	[heɪst]	 n. 急速，急忙；草率
suit	[sut]	 n. 起诉，诉讼 v. 适合
stock	[stɑk]	 n. 库存品；股本
needless	[ˈnidləs]	 adj. 不需要的
laser	[ˈleɪzər]	 n. 激光
boot	[but]	 n. 靴子，长统靴
pain	[peɪn]	 n. 痛，疼痛；辛苦
stale	[steɪl]	 n. 陈腐的；走了气的
habitual	[həˈbɪʧuəl]	 adj. 习惯性的，惯常的
erect	[ɪˈrɛkt]	 v. 建造；使竖立
noticeable	[ˈnoʊtəsəbəl]	 adj. 显而易见的
hate	[heɪt]	 v. 恨，憎恨；不喜欢
orderly	[ˈɔrdərli]	 adj. 整洁的；有秩序的
menu	[ˈmɛnju]	 n. 菜单
fair	[fɛr]	 adj. 公平的；相当的
point	[pɔɪnt]	 n. 点；要点；细目；分
live	[lɪv]	 v. 居住；活 adj. 活的
altitude	[ˈæltəˌtud]	 n. 高，高度；高处
horizon	[hərˈaɪzən]	 n. 地平线；眼界，见识
similarly	[ˈsɪmələrli]	 adv. 类似地，相似地
protein	[ˈproʊˌtin]	 n. 蛋白质，朊
miserable	[ˈmɪzərəbəl]	 adj. 痛苦的；悲惨的
influence	[ˈɪnfluəns]	 n. 影响；势力 v. 影响
July	[ˌʤuˈlaɪ]	 n. 七月
sake	[seɪk]	 n. 缘故，理由
tendency	[ˈtɛndənsi]	 n. 倾向；趋向，趋势
giant	[ʤaɪənt]	 n. 〔儿童故事中的〕巨人；巨人；巨物
father	[ˈfɑðər]	 n. 父亲；神父；创始人
specimen	[ˈspɛsəmən]	 n. 样本，标本，样品
upward	[ˈəpwərd]	 adj. 上升的；向上的
ready	[ˈrɛdi]	 adj. 准备好的；愿意的
path	[pæθ]	 n. 路，小道；道路
helmet	[ˈhɛlmət]	 n. 头盔，钢盔
adverb	[ˈædvərb]	 n. 副词
information	[ˌɪnˌfɔrˈmeɪʃən]	 n. 消息，信息；通知
exterior	[ɪkˈstɪriər]	 adj. 外部的
setting	[ˈsɛtɪŋ]	 n. 环境；安装，调整
tidy	[ˈtaɪdi]	 adj. 整洁的；整齐的
eagle	[ˈigəl]	 n. 鹰
variable	[ˈvɛriəbəl]	 adj. 易变的 n. 变量
belt	[bɛlt]	 n. 带，腰带；皮带；区
open	[ˈoʊpən]	 adj. 开的；开放的 v. 开
relative	[ˈrɛlətɪv]	 adj. 有关系的；相对的
cage	[keɪʤ]	 n. 笼；鸟笼，囚笼
revolt	[rɪˈvoʊlt]	 n. 反抗；造反 v. 反抗；造反
exist	[ɪgˈzɪst]	 v. 存在；生存，生活
width	[wɪdθ]	 n. 宽度
argue	[ˈɑrgju]	 v. 争论；争辩，辩论
herself	[hərˈsɛlf]	 pron. 她自己；她亲自
potato	[pəˈteɪˌtoʊ]	 n. 马铃薯，土豆
aspect	[ˈæˌspɛkt]	 n. 方面；样子，外表
fertile	[ˈfərtəl]	 adj. 肥沃的
chamber	[ˈʧeɪmbər]	 n. 〔人体内或某些机器中的〕室，腔；会议室；房间
rotary	[ˈroʊtəri]	 adj. 旋转的，转动的
elbow	[ˈɛlˌboʊ]	 n. 肘，肘部；弯管
dye	[daɪ]	 v. 染 n. 染料；染色
condition	[kənˈdɪʃən]	 n. 状况，状态；环境
deaf	[dɛf]	 adj. 聋的；不愿听的
prize	[praɪz]	 n. 奖赏，奖金 v. 珍视
knit	[nɪt]	 v. 把…编结
neither	[ˈniðər]	 adj. （两者）都不的
register	[ˈrɛʤɪstər]	 n. 登记，注册 v. 登记，注册
flu	[flu]	 n. 流行性感冒
petrol	[ˈpɛtroʊl]	 n. （英）汽油
continent	[ˈkɑntənənt]	 n. 大陆；陆地；洲
echo	[ˈɛkoʊ]	 n. 回声，反响 v. 重复
boil	[bɔɪl]	 v. 沸腾；汽化；煮沸
accident	[ˈæksədənt]	 n. 意外事件；事故
log	[lɔg]	 n. 原木，木料
cheat	[ʧit]	 v. 骗取；哄
grass	[græs]	 n. 草；牧草；草地
desire	[dɪˈzaɪər]	 v. 中文释义；想要：要求 n. 愿望
dense	[dɛns]	 adj. 密集的；浓厚的
tank	[tæŋk]	 n. 大容器，槽；坦克
restrict	[riˈstrɪkt]	 v. 限制，限定；约束
first	[fərst]	 num. 第一 adv. 最初
deliver	[dɪˈlɪvər]	 v. 投递，送交；发表
reduce	[rɪˈdus]	 v. 减少，减小
aircraft	[ˈɛrˌkræft]	 n. 飞机，飞行器
specific	[spɪˈsɪfɪk]	 adj. 特有的；具体的
scout	[skaʊt]	 n. 侦察员，侦察机
instant	[ˈɪnstənt]	 n. 瞬间 adj. 立即的
involve	[ˌɪnˈvɑlv]	 v. 使卷入；牵涉
layout	[leɪaʊt]	 n. 布局，安排，设计
business	[ˈbɪznɪs]	 n. 商业，生意；事务；事务
torture	[ˈtɔrʧər]	 n. 拷问；折磨 v. 拷打
shiver	[ˈʃɪvər]	 v. 颤抖，哆嗦 n. 冷颤
contradiction	[ˌkɑntrəˈdɪkʃən]	 n. 矛盾，不一致；否认
photograph	[ˈfoʊtəˌgræf]	 n. 照片，相片
sophisticated	[səˈfɪstɪˌkeɪtəd]	 adj. 老于世故的；高级的
exploit	[ˌɛkˈsplɔɪt]	 v. 剥削；利用；开拓
likewise	[ˈlaɪkˌwaɪz]	 adv. 同样地；也，又
ratio	[ˈreɪʃiˌoʊ]	 n. 比，比率
textile	[ˈtɛkˌstaɪl]	 n. 纺织品
employer	[ɪmˈplɔɪər]	 n. 雇佣者，雇主
fisherman	[ˈfɪʃərˌmæn]	 n. 渔民，渔夫，打鱼人
love	[ləv]	 v. 爱，喜欢 n. 爱
arrive	[əraɪv]	 v. 到达；来临；达到
preferable	[ˈprɛfərəbəl]	 adj. 更可取的，更好的
indifferent	[ˌɪnˈdɪfərənt]	 adj. 冷漠的；不积极的
impatient	[ˌɪmˈpeɪʃənt]	 adj. 不耐烦的，急躁的
vapour	[vapour*]	 n. 汽，蒸气
chemist	[ˈkɛmɪst]	 n. 化学家；药剂师
novel	[ˈnɑvəl]	 n. 小说 adj. 新的
forward	[ˈfɔrwərd]	 adv. 向前；今后，往后
civilize	[ˈsɪvəˌlaɪz]	 v. 使文明；教育
nail	[neɪl]	 n. 钉；指甲 v. 钉
harsh	[hɑrʃ]	 adj. 严厉的；刺耳的
fail	[feɪl]	 v. 失败；不能；失灵
disturb	[dɪˈstərb]	 v. 打扰，扰乱；弄乱
favourable	[favourable*]	 adj. 赞成的；有利的
exciting	[ɪkˈsaɪtɪŋ]	 adj. 令人兴奋的
seize	[siz]	 v. 抓住；夺取；逮捕
day	[deɪ]	 n. （一）天；白昼，白天
onto	[ˈɔntu]	 prep. 到…上
ninety	[ˈnaɪnti]	 num. 九十，九十个
application	[ˌæpləˈkeɪʃən]	 n. 请求，申请；施用
plot	[plɑt]	 n. 小块土地 v. 密谋
hotel	[hoʊˈtɛl]	 n. 旅馆
encourage	[ɪnˈkərəʤ]	 v. 鼓励，支持；助长
concentrate	[ˈkɑnsənˌtreɪt]	 v. 集中；聚集；浓缩
achievement	[əˈʧivmənt]	 n. 成就，成绩；完成
comparison	[kəmˈpɛrəsən]	 n. 比较，对照；比拟
build	[bɪld]	 v. 建筑；建立；创立
bosom	[ˈbʊzəm]	 n. 胸，胸部；内心
bother	[ˈbɑðər]	 v. 烦扰，迷惑 n. 麻烦
festival	[ˈfɛstɪvəl]	 n. 〔电影、戏剧、音乐等的〕节，节庆，会演；节日
ensure	[ɪnˈʃʊr]	 v. 保证；保护；赋予
face	[feɪs]	 n. 脸；表面
handy	[ˈhændi]	 adj. 便于使用的；手边的
honesty	[ˈɑnəsti]	 n. 诚实，正直
genuine	[ˈʤɛnjuˌaɪn]	 adj. 真的；真正的
cycle	[ˈsaɪkəl]	 n. 循环；自行车
parent	[ˈpɛrənt]	 n. 父亲，母亲，双亲
graph	[græf]	 n. （曲线）图，图表
seal	[sil]	 n. 印记；封蜡 v. 封
strengthen	[ˈstrɛŋθən]	 v. 加强，巩固
deny	[dɪˈnaɪ]	 v. 否定；拒绝相信
empire	[ˈɛmpaɪər]	 n. 帝国
surgery	[ˈsərʤəri]	 n. 外科，外科手术
fortune	[ˈfɔrʧən]	 n. 运气；巨款；命运
interesting	[ˈɪntəˌrɛstɪŋ]	 adj. 有趣的，引人入胜的
project	[ˈprɑʤɛkt]	 n. 方案，工程 v. 伸出
again	[əˈgɛn]	 adv. 又一次；而且
favour	[ˈfeɪvər]	 n. 恩惠；赞同
fleet	[flit]	 n. 舰队；机群
mankind	[ˈmænˈkaɪnd]	 n. 人类
liter	[ˈlitər]	 n. 升（容量单位）
mechanics	[məˈkænɪks]	 n. 力学
schedule	[ˈskɛʤʊl]	 n. 计划表；时间表
crystal	[ˈkrɪstəl]	 n. 结晶体；晶粒；水晶
letter	[ˈlɛtər]	 n. 信；字母
effective	[ˈifɛktɪv]	 adj. 有效的；有影响的
eye	[aɪ]	 n. 眼睛；眼力
card	[kɑrd]	 n. 卡；卡片；名片
bush	[bʊʃ]	 n. 灌木，灌木丛，矮树
rouse	[raʊz]	 v. 唤醒，唤起；惊起
reflexion	[reflexion*]	 n. 映象；反映；反射
Arabian	[əˈreɪbiən]	 adj. 阿拉伯的
widen	[ˈwaɪdən]	 v. 变宽；加宽
violent	[ˈvaɪələnt]	 adj. 暴力的；强暴的；猛烈的；狂暴的
basic	[ˈbeɪsɪk]	 adj. 基本的，基础的
director	[dɪˈrɛktər]	 n. 理事；导演；指导者；负责人
own	[oʊn]	 adj. 自己的 v. 有，拥有
commit	[kəˈmɪt]	 v. 犯（错误）；干（坏事）
ampere	[ˈæmˌpər]	 n. 安培
blast	[blæst]	 n. 爆炸，冲击波 v. 炸
doubtless	[ˈdaʊtləs]	 adv. 无疑地；很可能
cloak	[kloʊk]	 n. 斗篷；覆盖（物）
comprehensive	[ˌkɑmpriˈhɛnsɪv]	 adj. 广泛的
mistress	[ˈmɪstrəs]	 n. 女主；夫人
mathematics	[ˌmæθəˈmætɪks]	 n. 数学
housewife	[ˈhaʊsˌwaɪf]	 n. 家庭主妇
headmaster	[ˈhɛdˈmæstər]	 n. 校长
oak	[oʊk]	 n. 栎属植物；栎木，橡木
available	[əˈveɪləbəl]	 adj. 可利用的
no	[noʊ]	 adv. 不；并不 adj. 没有
somebody	[ˈsəmˌbɑdi]	 pron. 某人，有人
rotation	[roʊˈteɪʃən]	 n. 旋转，转动
virtue	[ˈvərʧu]	 n. 善；美德；优点
urban	[ˈərbən]	 adj. 都市的，住在都市的
hardware	[ˈhɑrdˌwɛr]	 n. 硬件；五金器具
annoy	[əˈnɔɪ]	 v. 使恼怒；打搅；打扰
centigrade	[ˈsɛntəˌgreɪd]	 adj. 百分度的
ink	[ɪŋk]	 n. 墨水，油墨
parallel	[ˈpɛrəˌlɛl]	 adj. 平行的；相同的
naughty	[ˈnɔti]	 adj. 顽皮的，淘气的
cassette	[kəˈsɛt]	 n. 盒式录音带
fifth	[fɪθ]	 num. 第五 n. 五分之一
organization	[ˌɔrgənəˈzeɪʃən]	 n. 组织；团体，机构
hall	[hɔl]	 n. 门厅；过道；会堂
prevail	[prɪˈveɪl]	 v. 流行；胜，优胜
continue	[kənˈtɪnju]	 v. 继续，连续；延伸
microcomputer	[ˈmaɪˌkroʊkəmˈpjutər]	 n. 微型计算机，微机
persist	[pərˈsɪst]	 v. 坚持，固执；持续
unless	[ənˈlɛs]	 conj. 除非，如果不
manage	[ˈmænɪʤ]	 v. 管理；设法；成功应付，对付
owner	[ˈoʊnər]	 n. 物主，所有人
weep	[wip]	 v. 哭泣，流泪
vacuum	[ˈvækjum]	 n. 真空；真空吸尘器
realize	[ˈriəˌlaɪz]	 v. 认识到；实现
predict	[prɪˈdɪkt]	 v. 预言，预告，预测
portable	[ˈpɔrtəbəl]	 adj. 轻便的；手提的
ditch	[dɪʧ]	 n. 沟，沟渠，渠道
relief	[rɪˈlif]	 n. 减轻；救济；援救
accommodate	[əˈkɑməˌdeɪt]	 v. 容纳；供应，供给，提供住宿
laboratory	[ˈlæbrəˌtɔri]	 n. 实验室，研究室
brush	[brəʃ]	 n. 刷子，毛刷；画笔
microscope	[ˈmaɪkrəˌskoʊp]	 n. 显微镜
emperor	[ˈɛmpərər]	 n. 皇帝
render	[ˈrɛndər]	 v. 使得；表示，给予
plug	[pləg]	 n. 塞子；插头 v. 塞
consult	[kənˈsəlt]	 v. 请教；查阅
candle	[ˈkændəl]	 n. 蜡烛
range	[reɪnʤ]	 n. 一系列；范围；山脉
adult	[ˈædəlt]	 n. 成年人 adj. 成年的
approach	[əˈproʊʧ]	 v. 向…靠近 n. 靠近
eventually	[ɪˈvɛnʧəwəli]	 adv. 终于；最后
glad	[glæd]	 adj. 高兴的；乐意的
conclude	[kənˈklud]	 v. 推断出；结束
radiation	[ˌreɪdiˈeɪʃən]	 n. 辐射；辐射能
accidental	[ˌæksəˈdɛnəl]	 adj. 偶然的；非本质的
dog	[dɔg]	 n. 狗，犬；犬科动物
automation	[ɔtəˈmeɪʃən]	 n. 自动，自动化
huge	[juʤ]	 adj. 巨大的，庞大的
few	[fju]	 adj. 很少的；少数的
angel	[ˈeɪnʤəl]	 n. 天使；安琪儿，天使〔指仁慈、善良或美丽的人〕
handsome	[ˈhænsəm]	 adj. 英俊的；相当大的
class	[klæs]	 n. 班，班级；阶级；等级
nation	[ˈneɪʃən]	 n. 国家；民族
complaint	[kəmˈpleɪnt]	 n. 抱怨；怨言；控告
era	[ˈɪrə]	 n. 时代，年代；纪元
port	[pɔrt]	 n. 港，港口
column	[ˈkɑləm]	 n. 柱，支柱，圆柱
message	[ˈmɛsɪʤ]	 n. 信息，消息；启示，要旨，寓意
pack	[pæk]	 v. （把…）打包；（把…）装箱；挤满 n. 包
black	[blæk]	 adj. 黑色的；黑暗的
scan	[skæn]	 v. 细看；浏览；扫描
variation	[ˌvɛriˈeɪʃən]	 n. 变化，变动；变异
planet	[ˈplænət]	 n. 行星
lend	[lɛnd]	 v. 把…借给；贷（款）
reflection	[rɪˈflɛkʃən]	 n. 映象；反射；反映
acre	[ˈeɪkər]	 n. 英亩
removal	[rɪˈmuvəl]	 n. 移动；移走；除掉；搬迁
sail	[seɪl]	 n. 帆；船 v. 航行
France	[fræns]	 n. 法国，法兰西
superior	[suˈpɪriər]	 adj. 有优越感的；较高的
cafeteria	[ˌkæfəˈtɪriə]	 n. 自助食堂
costly	[ˈkɔstli]	 adj. 昂贵的；代价高的
ideal	[aɪˈdil]	 adj. 理想的
sample	[ˈsæmpəl]	 n. 样品；标本
continuous	[kənˈtɪnjuəs]	 adj. 连续不断的，持续的
joy	[ʤɔɪ]	 n. 欢乐，喜悦；乐事
navy	[ˈneɪvi]	 n. 海军
fabric	[ˈfæbrɪk]	 n. 织物，纺织品；结构
evolve	[ɪˈvɑlv]	 v. 使进化；使发展
eliminate	[ɪˈlɪməˌneɪt]	 v. 消灭，消除；排除
staff	[stæf]	 n. 全体职员，员工；工作人员；参谋
repeat	[rɪˈpit]	 v. 重说，重做 n. 重演，重现
narrow	[ˈnɛroʊ]	 adj. 狭的，狭窄的
freight	[freɪt]	 n. 货运；货物；运费
educate	[ˈɛʤəˌkeɪt]	 v. 教育；培养；训练；教导
fence	[fɛns]	 n. 栅栏
lick	[lɪk]	 v. 舔；舔吃
necessary	[ˈnɛsəˌsɛri]	 adj. 必要的；必然的
primitive	[ˈprɪmɪtɪv]	 adj. 原始的；老式的，简陋的
read	[rɛd]	 v. 读，看懂
and	[ənd]	 conj. 和，又，并；则，那么
complain	[kəmˈpleɪn]	 v. 抱怨，诉苦；控告
thrust	[θrəst]	 v. 插，刺 n. 猛冲，猛刺；推进
junior	[ˈʤunjər]	 adj. 青少年的 n. 晚辈
leading	[ˈlidɪŋ]	 adj. 最主要的
spur	[spər]	 n. 刺激物 v. 刺激
commercial	[kəˈmərʃəl]	 adj. 商业的；商品化的
extraordinary	[ˌɛkstrəˈɔrdəˌnɛri]	 adj. 非同寻常的；特别的（会议）
inspire	[ˌɪnˈspaɪr]	 v. 鼓舞；给…以灵感
climate	[ˈklaɪmɪt]	 n. 气候；地带；风气
outward	[ˈaʊtwərd]	 adj. 外面的；向外的
pessimistic	[ˌpɛsəˈmɪstɪk]	 adj. 悲观的；厌世的
frost	[frɔst]	 n. 冰冻，严寒；霜
curse	[kərs]	 n. 诅咒，咒骂
heroic	[hɪˈroʊɪk]	 adj. 英雄的；英勇的
dive	[daɪv]	 v. 跳水；潜水；俯冲
survey	[ˈsərˌveɪ]	 v. 调查；测量
leak	[lik]	 v. 漏；泄露 n. 漏洞
democratic	[ˌdɛməˈkrætɪk]	 adj. 民主的，民主政体的
apart	[əˈpɑrt]	 adv. 相隔；分开；除去
resort	[rɪˈzɔrt]	 vi. 求助，凭借；诉诸于 n. 诉诸
utter	[ˈətər]	 adj. 完全的，彻底的
penetrate	[ˈpɛnəˌtreɪt]	 v. 穿过
passenger	[ˈpæsənʤər]	 n. 乘客，旅客
compete	[kəmˈpit]	 v. 竞争；对抗；比赛
boast	[boʊst]	 v. 自夸，吹嘘
breadth	[brɛdθ]	 n. 宽度，幅度；幅面
unique	[juˈnik]	 adj. 唯一的，独一无二的
opportunity	[ˌɑpərˈtunəti]	 n. 机会，良机
precious	[ˈprɛʃəs]	 adj. 珍贵的，宝贵的
accurate	[ˈækjərət]	 adj. 准确的，正确无误的
feeble	[ˈfibəl]	 adj. 虚弱的；微弱的
kind	[kaɪnd]	 n. 种类
helpful	[ˈhɛlpfəl]	 adj. 给予帮助的；有用的
apology	[əˈpɑləˌʤi]	 n. 道歉，认错，谢罪
lighten	[ˈlaɪtən]	 v. 照亮，使明亮
hot	[hɑt]	 adj. 热的；刺激的；辣的
hasty	[ˈheɪsti]	 adj. 急速的；仓促的
civil	[ˈsɪvəl]	 adj. 公民的；普通公民的；平民的
able	[ˈeɪbəl]	 adj. 有能力的；出色的
drive	[draɪv]	 v. 驾驶；打入；驱
eleventh	[ˈilɛvənθ]	 adj. 第十一（个）
friction	[ˈfrɪkʃən]	 n. 摩擦；摩擦力
expectation	[ˌɛkspɛkˈteɪʃən]	 n. 期待，预期；期望
commission	[kəˈmɪʃən]	 n. 委员会；委任状
old	[oʊld]	 adj. 老的；…岁的
night	[naɪt]	 n. 夜，夜间
joyful	[ˈʤɔɪfəl]	 adj. 十分喜悦的，快乐的
highly	[ˈhaɪli]	 adv. 很，非常；高度地
full	[fʊl]	 adj. 满的；完全的
detail	[ˈditeɪl]	 n. 细节；枝节
foot	[fʊt]	 n. 脚；最下部；英尺
tag	[tæg]	 n. 标签；附加语
cash	[kæʃ]	 n. 现金，现款
vanish	[ˈvænɪʃ]	 v. 突然不见，消失
movie	[ˈmuvi]	 n. 电影；电影院
convert	[ˈkɑnvərt]	 v. 使转变；使改变
although	[ˌɔlˈðoʊ]	 conj. 尽管，虽然
submerge	[səbˈmərʤ]	 v. 浸没；潜入水中
event	[ɪˈvɛnt]	 n. 事件，大事；事变
jam	[ʤæm]	 n. 果酱
display	[dɪˈspleɪ]	 v. 陈列，展览；显示
mutton	[ˈmətən]	 n. 羊肉
exhaust	[ɪgˈzɔst]	 v. 使筋疲力尽；用尽
pot	[pɑt]	 n. 锅；壶，罐，盆
murder	[ˈmərdər]	 n. 谋杀，凶杀 v. 谋杀，凶杀
language	[ˈlæŋgwɪʤ]	 n. 语言；语言课程
wire	[waɪər]	 n. 金属线；电缆
honourable	[ˈɑnərəbəl]	 adj. 光荣的
nationality	[ˌnæʃəˈnælɪti]	 n. 国籍；民族，族
remove	[riˈmuv]	 v. 移动，搬开；脱掉
spacecraft	[ˈspeɪˌskræft]	 n. 航天器，宇宙飞船
channel	[ˈʧænəl]	 n. 海峡；渠道；频道
lunch	[lənʧ]	 n. 午餐，（美）便餐
form	[fɔrm]	 n. 形式；形状 v. 形成
soak	[soʊk]	 v. 浸，泡
mobile	[ˈmoʊbəl]	 adj. 运动的；流动的
